Name,State,FR Ld,RF Ld,IR Ld,MAR Ld,MDR Ld,R/W,MOV,MA 1,MA 0,MB 1,MB 0,MC 1,MC 0,MD,ME,OP 4,OP 3,OP 2,OP 1,OP0 ,DT 1,DT 0
Reset,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,,
Fetch,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,
,2,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,,
,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NoOp,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,Instrucciones ALU,,,,,,,,,,,,,,,,,,,,,
ALU R,5,0,1,,,,,,0,0,0,0,,0,0,,,,,,,,
ALU Imm / Shift,6,0,1,,,,,,0,0,0,1,,0,0,,,,,,,,
ALU R S,7,1,1,,,,,,0,0,0,0,,0,0,,,,,,,,
ALU Imm / Shift S,8,1,1,,,,,,0,0,0,1,,0,0,,,,,,,,
TST R,9,1,,,,,,,,,0,0,,,0,,,,,,,,
TST Imm / Shift,10,1,,,,,,,,,0,1,,,0,,,,,,,,
,,Instrucciones LOAD STORE Addresing Mode 2,,,,,,,,,,,,,,,,,,,,,
LDR Imm + OFF,11,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,12,,,,,,1,1,,,,,,,,,,,,,,,
,13,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,14,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR R + OFF,15,,,,1,,,,0,0,0,0,,,1,,0,0,1,0,0,,
,16,,,,,,1,1,,,,,,,,,,,,,,,
,17,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,18,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR Imm + PRE,19,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,20,,,,,,1,1,,,,,,,,,,,,,,,
,21,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,22,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR R + PRE,23,,1,,1,,,,0,0,0,0,1,0,1,,0,0,1,0,0,,
,24,,,,,,1,1,,,,,,,,,,,,,,,
,25,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,26,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR Imm + POS,27,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,28,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,29,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,30,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR R + POS,31,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,32,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,33,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,34,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB Imm + OFF,35,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,36,,,,,,1,1,,,,,,,,,,,,,,,
,37,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,38,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB R + OFF,39,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,40,,,,,,1,1,,,,,,,,,,,,,,,
,41,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,42,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB Imm + PRE,43,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,44,,,,,,1,1,,,,,,,,,,,,,,,
,45,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,46,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB R + PRE,47,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,48,,,,,,1,1,,,,,,,,,,,,,,,
,49,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,50,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB Imm + POS,51,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,52,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,53,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,54,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB R + POS,55,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,56,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,57,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,58,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
STR Imm + OFF,59,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,60,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,61,,,,,,0,1,,,,,,,,,,,,,,,
,62,,,,,,0,1,,,,,,,,,,,,,,,
STR R + OFF,63,,,,1,,,,0,0,0,0,,,1,,0,0,1,0,0,,
,64,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,65,,,,,,0,1,,,,,,,,,,,,,,,
,66,,,,,,0,1,,,,,,,,,,,,,,,
STR Imm + PRE,67,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,68,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,69,,,,,,0,1,,,,,,,,,,,,,,,
,70,,,,,,0,1,,,,,,,,,,,,,,,
STR R + PRE,71,,1,,1,,,,0,0,0,0,1,0,1,,0,0,1,0,0,,
,72,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,73,,,,,,0,1,,,,,,,,,,,,,,,
,74,,,,,,0,1,,,,,,,,,,,,,,,
STR Imm + POS,75,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,76,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,77,,1,,,,0,1,,,,,1,0,,,0,0,1,0,0,,
,78,,,,,,0,1,,,,,,,,,,,,,,,
STR R + POS,79,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,80,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,81,,1,,,,0,1,,,,,1,0,,,0,0,1,0,0,,
,82,,,,,,0,1,,,,,,,,,,,,,,,
STRB Imm + OFF,83,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,84,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,85,,,,,,0,1,,,,,,,,,,,,,,,
,86,,,,,,0,1,,,,,,,,,,,,,,,
STRB R + OFF,87,,,,1,,,,0,0,0,0,,,1,,0,0,1,0,0,,
,88,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,89,,,,,,0,1,,,,,,,,,,,,,,,
,90,,,,,,0,1,,,,,,,,,,,,,,,
STRB Imm + PRE,91,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,92,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,93,,,,,,0,1,,,,,,,,,,,,,,,
,94,,,,,,0,1,,,,,,,,,,,,,,,
STRB R + PRE,95,,1,,1,,,,0,0,0,0,1,0,1,,0,0,1,0,0,,
,96,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,97,,,,,,0,1,,,,,,,,,,,,,,,
,98,,,,,,0,1,,,,,,,,,,,,,,,
STRB Imm + POS,99,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,100,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,101,,1,,,,0,1,,,,,1,0,,,0,0,1,0,0,,
,102,,,,,,0,1,,,,,,,,,,,,,,,
STRB R + POS,103,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,104,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,0,0
,105,,1,,,,0,1,,,,,1,0,,,0,0,1,0,0,,
,106,,,,,,0,1,,,,,,,,,,,,,,,
LDR Imm - OFF,107,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,108,,,,,,1,1,,,,,,,,,,,,,,,
,109,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,110,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR R - OFF,111,,,,1,,,,0,0,0,0,,,1,,0,0,0,1,0,,
,112,,,,,,1,1,,,,,,,,,,,,,,,
,113,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,114,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR Imm - PRE,115,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,116,,,,,,1,1,,,,,,,,,,,,,,,
,117,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,118,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR R - PRE,119,,1,,1,,,,0,0,0,0,1,0,1,,0,0,0,1,0,,
,120,,,,,,1,1,,,,,,,,,,,,,,,
,121,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,122,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR Imm - POS,123,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,124,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,125,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,126,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDR R - POS,127,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,128,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,129,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,130,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB Imm - OFF,131,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,132,,,,,,1,1,,,,,,,,,,,,,,,
,133,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,134,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB R - OFF,135,,,,1,,,,0,0,0,0,,,1,,0,0,0,1,0,,
,136,,,,,,1,1,,,,,,,,,,,,,,,
,137,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,138,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB Imm - PRE,139,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,140,,,,,,1,1,,,,,,,,,,,,,,,
,141,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,142,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRB R - PRE,143,,1,,1,,,,0,0,0,0,1,0,1,,0,0,0,1,0,,
,144,,,,,,1,1,,,,,,,,,,,,,,,
,145,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,146,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
